product_id,sku,name,category,subcategory,unit_cost,unit_price,abc_class,reorder_point,safety_stock_days,lead_time_days,weight_kg,is_active
IF-7455,IF-7455,Carriage Bolt 3/8x4 Box/50,Industrial Fasteners,Industrial Fasteners,18.7,31.0,B,2.9,10,14,1.5,True
IF-7560,IF-7560,Flange Bolt M10x25 Box/50,Industrial Fasteners,Industrial Fasteners,21.3,36.0,B,3.3,10,25,1.2,True
IF-7675,IF-7675,U-Bolt 3/8x3x6,Industrial Fasteners,Industrial Fasteners,8.4,14.0,B,1.3,10,24,0.8,True
IF-7780,IF-7780,Eye Bolt M12 Forged,Industrial Fasteners,Industrial Fasteners,12.6,21.0,B,1.9,10,16,0.6,True
IF-7890,IF-7890,Anchor Bolt 5/8x12 Box/10,Industrial Fasteners,Industrial Fasteners,26.8,45.0,B,4.1,10,23,2.5,True
IF-7995,IF-7995,Thread Rod M16x1000,Industrial Fasteners,Industrial Fasteners,14.5,24.0,B,2.2,10,11,1.8,True
IF-8100,IF-8100,Hex Nut M12 GR8 Box/100,Industrial Fasteners,Industrial Fasteners,9.8,16.5,C,1.5,7,7,1.0,True
IF-8215,IF-8215,Nylon Lock Nut M10 Box/100,Industrial Fasteners,Industrial Fasteners,11.2,19.0,C,1.7,7,6,0.8,True
IF-8320,IF-8320,Flat Washer M12 Box/200,Industrial Fasteners,Industrial Fasteners,6.4,11.0,C,1.0,7,12,0.6,True
IF-8430,IF-8430,Split Lock Washer 3/8 Box/200,Industrial Fasteners,Industrial Fasteners,4.8,8.0,C,0.7,7,14,0.4,True
IF-8540,IF-8540,Rivet 3/16x1/2 Box/500,Industrial Fasteners,Industrial Fasteners,15.3,26.0,C,2.4,7,7,0.5,True
IF-8650,IF-8650,Set Screw M8x12 Box/100,Industrial Fasteners,Industrial Fasteners,7.9,13.0,C,1.2,7,12,0.4,True
IF-8760,IF-8760,Dowel Pin 6x30 Box/50,Industrial Fasteners,Industrial Fasteners,10.4,17.5,C,1.6,7,8,0.3,True
IF-8870,IF-8870,Cotter Pin 3/32x1 Box/100,Industrial Fasteners,Industrial Fasteners,3.5,6.0,C,0.5,7,17,0.2,True
IF-8980,IF-8980,Clevis Pin 8x40,Industrial Fasteners,Industrial Fasteners,5.6,9.5,C,0.9,7,13,0.15,True
IF-9090,IF-9090,Hitch Pin 1/2x4,Industrial Fasteners,Industrial Fasteners,4.2,7.0,C,0.6,7,19,0.2,True
IF-9195,IF-9195,Spring Pin 5x30 Box/50,Industrial Fasteners,Industrial Fasteners,8.1,13.5,C,1.2,7,25,0.25,True
IF-9280,IF-9280,Stud Bolt M16x100,Industrial Fasteners,Industrial Fasteners,16.7,28.0,C,2.6,7,16,0.9,True
IF-9370,IF-9370,Wing Nut M8 Box/50,Industrial Fasteners,Industrial Fasteners,5.9,10.0,C,0.9,7,10,0.3,True
IF-9460,IF-9460,Coupling Nut M12x36,Industrial Fasteners,Industrial Fasteners,7.3,12.0,C,1.1,7,16,0.4,True
HF-1010,HF-1010,Hydraulic Hose 1/2in x 10ft 3000PSI,Hydraulic Fittings,Hydraulic Fittings,48.6,81.0,A,7.5,14,16,2.8,True
HF-1125,HF-1125,Quick Disconnect Coupling 1/2in,Hydraulic Fittings,Hydraulic Fittings,22.3,37.0,A,3.4,14,11,0.5,True
HF-1230,HF-1230,Hydraulic Cylinder 3in Bore x 8in,Hydraulic Fittings,Hydraulic Fittings,285.0,475.0,A,44.0,14,13,8.5,True
HF-1340,HF-1340,JIC Fitting 90° Elbow 1/2in,Hydraulic Fittings,Hydraulic Fittings,8.7,14.5,B,1.3,10,25,0.2,True
HF-1455,HF-1455,O-Ring Face Seal Fitting 3/4in,Hydraulic Fittings,Hydraulic Fittings,14.2,24.0,B,2.2,10,7,0.3,True
HF-1560,HF-1560,Hydraulic Filter Element 10 Micron,Hydraulic Fittings,Hydraulic Fittings,34.5,58.0,B,5.3,10,24,0.8,True
HF-1675,HF-1675,Pressure Gauge 0-5000PSI,Hydraulic Fittings,Hydraulic Fittings,28.9,48.0,B,4.5,10,25,0.4,True
HF-1780,HF-1780,Ball Valve 3/4in 5000PSI,Hydraulic Fittings,Hydraulic Fittings,42.1,70.0,B,6.5,10,10,1.2,True
HF-1890,HF-1890,Hydraulic Pump Gear Type 11GPM,Hydraulic Fittings,Hydraulic Fittings,195.0,325.0,B,30.0,10,22,6.2,True
HF-1995,HF-1995,Check Valve Inline 1/2in,Hydraulic Fittings,Hydraulic Fittings,18.6,31.0,B,2.9,10,12,0.3,True
HF-2100,HF-2100,Tube Nut 3/8in Box/10,Hydraulic Fittings,Hydraulic Fittings,6.3,10.5,C,1.0,7,10,0.1,True
HF-2215,HF-2215,Suction Strainer 1in 100 Mesh,Hydraulic Fittings,Hydraulic Fittings,24.7,41.0,C,3.8,7,19,0.6,True
HF-2320,HF-2320,Hydraulic Seal Kit 3in Cyl,Hydraulic Fittings,Hydraulic Fittings,19.4,32.0,C,3.0,7,17,0.2,True
HF-2430,HF-2430,Manifold Block 4-Station,Hydraulic Fittings,Hydraulic Fittings,68.5,114.0,C,10.5,7,13,3.4,True
HF-2540,HF-2540,Accumulator 1 Quart 3000PSI,Hydraulic Fittings,Hydraulic Fittings,142.0,237.0,C,22.0,7,25,4.1,True
HF-2650,HF-2650,Flow Control Valve 1/2in,Hydraulic Fittings,Hydraulic Fittings,36.8,61.0,C,5.7,7,22,0.8,True
HF-2760,HF-2760,Directional Valve 4/3 Way,Hydraulic Fittings,Hydraulic Fittings,98.5,164.0,C,15.2,7,12,2.5,True
HF-2870,HF-2870,Reservoir Tank 5 Gallon,Hydraulic Fittings,Hydraulic Fittings,75.3,126.0,C,11.6,7,15,8.0,True
HF-2980,HF-2980,Hydraulic Hose Crimping Ferrule,Hydraulic Fittings,Hydraulic Fittings,2.8,4.7,C,0.4,7,6,0.05,True
HF-3090,HF-3090,Test Port Coupling M14x1.5,Hydraulic Fittings,Hydraulic Fittings,7.5,12.5,C,1.2,7,12,0.1,True
HF-3195,HF-3195,SAE Flange 1in Code 61,Hydraulic Fittings,Hydraulic Fittings,31.2,52.0,C,4.8,7,6,1.5,True
HF-3280,HF-3280,Pipe Plug 1/2 NPT Box/25,Hydraulic Fittings,Hydraulic Fittings,4.6,7.7,C,0.7,7,15,0.08,True
HF-3370,HF-3370,Swivel Joint 1/2in,Hydraulic Fittings,Hydraulic Fittings,26.4,44.0,C,4.1,7,17,0.6,True
HF-3460,HF-3460,Hydraulic Oil ISO 46 5 Gal,Hydraulic Fittings,Hydraulic Fittings,52.0,87.0,C,8.0,7,13,18.5,True
SE-1010,SE-1010,Hard Hat Type II Full Brim,Safety Equipment,Safety Equipment,32.4,54.0,A,5.0,14,7,0.5,True
SE-1125,SE-1125,Safety Glasses Anti-Fog Z87.1,Safety Equipment,Safety Equipment,8.6,14.5,A,1.3,14,11,0.1,True
SE-1230,SE-1230,Fall Protection Harness,Safety Equipment,Safety Equipment,125.0,209.0,A,19.3,14,23,1.8,True
SE-1340,SE-1340,Nitrile Gloves XL Box/100,Safety Equipment,Safety Equipment,14.2,24.0,B,2.2,10,15,0.8,True
SE-1455,SE-1455,Ear Plugs NRR32 Box/200,Safety Equipment,Safety Equipment,18.5,31.0,B,2.9,10,11,0.6,True
SE-1560,SE-1560,Hi-Vis Safety Vest Class 2,Safety Equipment,Safety Equipment,11.3,19.0,B,1.7,10,25,0.3,True
SE-1675,SE-1675,Respirator Half-Face P100,Safety Equipment,Safety Equipment,28.7,48.0,B,4.4,10,20,0.4,True
SE-1780,SE-1780,Steel Toe Boot Cover,Safety Equipment,Safety Equipment,16.8,28.0,B,2.6,10,17,0.5,True
SE-1890,SE-1890,First Aid Kit 50 Person,Safety Equipment,Safety Equipment,62.4,104.0,B,9.6,10,25,3.2,True
SE-1995,SE-1995,Fire Extinguisher 10lb ABC,Safety Equipment,Safety Equipment,45.6,76.0,B,7.0,10,19,5.5,True
SE-2100,SE-2100,Safety Cone 28in Reflective,Safety Equipment,Safety Equipment,9.4,16.0,C,1.5,7,9,1.8,True
SE-2215,SE-2215,Caution Tape 1000ft Roll,Safety Equipment,Safety Equipment,6.8,11.5,C,1.0,7,13,0.9,True
SE-2320,SE-2320,Lockout Tagout Station,Safety Equipment,Safety Equipment,85.0,142.0,C,13.1,7,9,2.5,True
SE-2430,SE-2430,Spill Kit 20 Gallon,Safety Equipment,Safety Equipment,72.3,121.0,C,11.2,7,12,6.0,True
SE-2540,SE-2540,Emergency Shower/Eyewash,Safety Equipment,Safety Equipment,320.0,533.0,C,49.4,7,22,15.0,True
SE-2650,SE-2650,Gas Detector 4-Gas,Safety Equipment,Safety Equipment,195.0,325.0,C,30.1,7,22,0.5,True
SE-2760,SE-2760,Welding Helmet Auto-Dark,Safety Equipment,Safety Equipment,68.5,114.0,C,10.6,7,13,0.8,True
SE-2870,SE-2870,Safety Harness Lanyard 6ft,Safety Equipment,Safety Equipment,42.1,70.0,C,6.5,7,23,0.4,True
SE-2980,SE-2980,Knee Pads Professional,Safety Equipment,Safety Equipment,24.3,41.0,C,3.8,7,18,0.5,True
SE-3090,SE-3090,Face Shield Bracket + Visor,Safety Equipment,Safety Equipment,15.6,26.0,C,2.4,7,23,0.3,True
SE-3195,SE-3195,Hearing Band NRR25,Safety Equipment,Safety Equipment,7.2,12.0,C,1.1,7,17,0.1,True
SE-3280,SE-3280,Safety Sign Pack Assorted,Safety Equipment,Safety Equipment,34.5,58.0,C,5.3,7,16,1.2,True
SE-3370,SE-3370,Chemical Splash Goggles,Safety Equipment,Safety Equipment,10.8,18.0,C,1.7,7,12,0.15,True
SE-3460,SE-3460,Traffic Delineator Post 42in,Safety Equipment,Safety Equipment,28.9,48.0,C,4.5,7,9,3.5,True
