Query,SQL
Who overrode the demand forecast for Industrial Fasteners and when?,"SELECT f.forecast_id, f.product_id, f.forecast_date, f.forecast_method, f.forecast_qty, f.confidence_level, f.created_by FROM demand_forecast f WHERE f.product_id LIKE 'IF-%' AND f.forecast_method = 'manual_override' ORDER BY f.forecast_date DESC"
Are the same products overstocked in one warehouse and understocked in another?,"SELECT i.product_id, p.name, i.warehouse_id, i.qty_on_hand, i.days_of_supply FROM inventory_daily i JOIN products p ON i.product_id = p.product_id WHERE i.snapshot_date = (SELECT MAX(snapshot_date) FROM inventory_daily) AND i.product_id LIKE 'IF-%' AND i.warehouse_id IN ('WH-EAST', 'WH-WEST') ORDER BY i.product_id, i.warehouse_id"
What is our monthly freight spend trend and how does it break down by expedited vs standard?,"SELECT DATE_TRUNC('month', fi.invoice_date) AS month, SUM(fi.total_invoiced) AS total_freight_spend, SUM(CASE WHEN sh.is_expedited THEN fi.total_invoiced ELSE 0 END) AS expedited_spend, SUM(CASE WHEN NOT sh.is_expedited THEN fi.total_invoiced ELSE 0 END) AS standard_spend, COUNT(CASE WHEN sh.is_expedited THEN 1 END) * 100.0 / COUNT(*) AS expedited_pct FROM freight_invoices fi LEFT JOIN shipments sh ON fi.shipment_id = sh.shipment_id GROUP BY 1 ORDER BY 1"
What is the expedited shipment rate by month and which products are driving it?,"SELECT DATE_TRUNC('month', ship_date) AS month, COUNT(*) AS total_shipments, COUNT(CASE WHEN is_expedited THEN 1 END) AS expedited_count, COUNT(CASE WHEN is_expedited THEN 1 END) * 100.0 / COUNT(*) AS expedited_rate_pct FROM shipments GROUP BY 1 ORDER BY 1"
Are there any freight invoice disputes and what is the total overcharge?,"SELECT carrier_name, COUNT(*) AS dispute_count, SUM(variance_amount) AS total_overcharge, AVG(variance_amount) AS avg_overcharge FROM freight_invoices WHERE dispute_flag = true GROUP BY carrier_name ORDER BY total_overcharge DESC"
Is any carrier's fuel surcharge creeping up over time?,"SELECT carrier_name, DATE_TRUNC('month', invoice_date) AS month, AVG(fuel_surcharge / NULLIF(base_rate, 0)) * 100 AS fuel_surcharge_pct FROM freight_invoices WHERE carrier_name = 'Continental Freight' GROUP BY carrier_name, DATE_TRUNC('month', invoice_date) ORDER BY month"
How has our customer OTIF trended and which accounts are most affected?,"SELECT c.name, c.account_tier, COUNT(*) AS delivered_orders, COUNT(CASE WHEN so.actual_delivery_date <= so.promised_delivery_date THEN 1 END) * 100.0 / COUNT(*) AS otif_pct, SUM(so.revenue) AS total_revenue FROM sales_orders so JOIN customers c ON so.customer_id = c.customer_id WHERE so.status = 'delivered' AND so.actual_delivery_date >= (SELECT MAX(snapshot_date) FROM inventory_daily)::DATE - INTERVAL 60 DAY GROUP BY c.name, c.account_tier HAVING COUNT(*) >= 3 ORDER BY otif_pct ASC LIMIT 10"
What is the total revenue at risk from Meridian Industries backorders?,"SELECT c.name, c.account_tier, c.segment, COUNT(*) AS backorder_count, SUM(so.qty_backordered) AS total_qty_backordered, SUM(so.revenue) AS revenue_at_risk FROM sales_orders so JOIN customers c ON so.customer_id = c.customer_id WHERE so.status = 'backordered' AND so.customer_id = 'CUST-0012' GROUP BY c.name, c.account_tier, c.segment"
What percentage of late delivery returns are supplier-attributable?,"SELECT reason_code, COUNT(*) AS return_count, COUNT(CASE WHEN supplier_attributable THEN 1 END) AS supplier_caused, COUNT(CASE WHEN supplier_attributable THEN 1 END) * 100.0 / COUNT(*) AS supplier_pct, SUM(refund_amount) AS total_refunds FROM returns WHERE return_date >= (SELECT MAX(snapshot_date) FROM inventory_daily)::DATE - INTERVAL 60 DAY GROUP BY reason_code ORDER BY return_count DESC"
Give me a full supply chain trace from customer backorder to root cause supplier,"SELECT so.so_id, c.name AS customer, c.account_tier, so.product_id, p.name AS product, p.category, so.revenue, po.supplier_id, s.name AS supplier, sc.otif_pct AS supplier_recent_otif, sc.risk_rating FROM sales_orders so JOIN customers c ON so.customer_id = c.customer_id JOIN products p ON so.product_id = p.product_id LEFT JOIN purchase_orders po ON so.product_id = po.product_id AND po.status = 'open' LEFT JOIN suppliers s ON po.supplier_id = s.supplier_id LEFT JOIN supplier_scorecards sc ON po.supplier_id = sc.supplier_id AND sc.month = (SELECT MAX(month) FROM supplier_scorecards) WHERE so.status = 'backordered' ORDER BY so.revenue DESC"
